NUMBER	NAME	KINGDOM	PHYLUM	SUBPHYLUM	CLADE	SUBCLADE	ORDER	SUBORDER	FAMILY	IMAGES	TEXT	
144	GASTROPODA	MOLLUSCA	GASTROPODA								Gastropoda is the largest and most diverse molluscan class. The gastropods are the snails and slugs, and the taxon includes an enormous diversity of these animals. The gastropod fossil record begins in the early Cambrian period and extends unbroken to the present. No other molluscan class has experienced the extraordinary adaptive radiation seen in the gastropods during this period. Gastropods originated in the sea, but have colonized fresh water and are the only mol- luscs found in terrestrial habitats. Among metazoan animals, only the vertebrates, crustaceans, and perhaps the annelids have enjoyed similar success in all three major environments. Estimates of the number of species vary widely from 40,000 to 100,000 species, but there are probably around 60,000 described, extant gastropods and another 15,000 known fossil species. Gastropods are primarily benthic and have become adapted to life on all types of bottoms, but some are adapted to a pelagic life. The pulmonate snails and slugs, as well as several other groups, have conquered land by eliminating the gills and converting the mantle cavity into a lung. Three major groups, the prosobranchs, pulmonates, and opisthobranchs, have tended to specialize along different lines. The prosobranchs are primarily benthic marine animals, whereas pulmonates have capitalized on the ecological possibilities of aerial respiration and opisthobranchs have experimented with the advantages of losing the shell.	
145	PATELLOGASTROPODA	MOLLUSCA	GASTROPODA		PATELLOGASTROPODA						Also called Docoglossa. The largest assemblage of limpets. Found from shallow water to the deep sea; many are common in the rocky intertidal areas. Evolved independently of keyhole limpets. Shell a noncoiled, symmetrical cone; symmetry may be primary.	
146	VETIGASTROPODA	MOLLUSCA	GASTROPODA		VETIGASTROPODA						Archaeogastropods sensu lato. Primitive diotocardians, two nephridia and bipectinate gills. Right gill may be reduced or absent, osphradium is a simple ridge. Fissurellidae (keyhole limpets): secondarily symmetrical conical shell with a single anal aperture and two bipectinate gills.	
147	NERITIMORPHA	MOLLUSCA	GASTROPODA		NERITIMORPHA						Includes many common, rocky intertidal species, such as the semitropical and tropical species of Nerita. Diotocardian, but have either a single monopectinate gill or no gill. Eye with lens, penis present. Some have invaded fresh water (Theodoxus) and, perhaps from some freshwater ancestor, there arose a family of tropical land snails, the Heiicinidae.	
148	CAENOGASTROPODA	MOLLUSCA	GASTROPODA		CAENOGASTROPODA						Includes the mesogastropods and neogastropods and thus most living prosobranchs. The great adaptive diversity of these two grades is in part due to the evolution of the monopectinate gill, which may have facilitated expansion from the ancestral rocky coasts into silty, especially soft-bottom, habitats. The dorsal and ventral membranes that suspend the archaeogastropod bipectinate gill are easily fouled by developed shell (Atlanta, Oxygyrus); Carinariidae has small sediment carried by the respiratory current.	
149	MESOGASTROPODS	MOLLUSCA	GASTROPODA		MESOGASTROPODS						Snails with a single monopectinate gill, one atrium (monotocardian), one nephridium. Osphradium simple (ridgelike). Reproductive system is complex, usually with a penis. Radula is taenioglossate, seven teeth in each transverse row. Chiefly marine, but with many freshwater and terrestrial taxa. Browsers, detritivores, suspension-feeders, parasites, and carnivores.	
150	CERITHIOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		CERITHIOIDEA				Marine and freshwater snails with high spires; Turritellidae (turret snails; Turritella), Batillariidae (Batillaria), Cerithiidae (ceriths; Bittium, Cerithium), Siliquariidae (Siliquaria), Pleuroceridae (Elimia, Pleurocera).	
151	VERMETOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		VERMETOIDEA				Worm snails, with long, loosely, irregularly coiled shells and no operculum; Vermetidae.	
152	LITTORINOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		LITTORINOIDEA				Littorinidae (intertidal periwinkles; Lacuna, Littorina, Tectarius).	
153	RISSOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		RISSOIDEA				Large assemblage of several families of small marine, freshwater, and terrestrial snails, including Caecidae (Caecum), Hydrobiidae (Hydrobia), Truncatellidae (Truncatella), Vitrinellidae (Cochliolepis, Cyclostremiscus, Vitrinella).	
154	STROMBOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		STROMBOIDEA				Mostly large gastropods having shells with siphonal canals and a flaring lip; Strombidae (conchs; Larnbis, Strombus, Tibia), Aporrhaidae (pelicanfoot snails; Aporrhais), Struthiolariidae (ostrich-foot snails, Struthiolaria).	
155	XENOPHOROIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		XENOPHOROIDEA				Most attach stones or shells to the shell. Xenophoridae (carriersnails; Xenophora).	
156	CALYPTRAEDOIA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		CALYPTRAEDOIA				Filter-feeding, protandric snails with mostly caplike or limpetlike shells; Calyptraeidae (slipper snails and shelf limpets; Calyptraea, Crepidula; Capulidae (cap snails; Capulus).	
157	CYPRAEOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		CYPRAEOIDEA				Spire enclosed within the last whorl of the shell; Cypraeidae (cowries; Cypraea), Ovulidae (egg snails; Cyphoma, Simnia).	
158	NATICOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		NATICOIDEA				Burrowing moon snails with globose shell sand a drilling radula; (Naticidae; Natica, Polinices, Sinum).	
159	TONNOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		TONNOIDEA				Marine snails with heavy, often large shells; Cassidae (helmet snails; Cassidarius, Cassis, bonnets; Phalium), Bursidae (frogsnails; Bofonaria), Ranellidae (tritons; Cymatium), Tonnidae (tuns; Tonna, Malea), Ficidae (fig snails; Ficus).	
160	CARINARIOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		CARINARIOIDEA				Pelagic snails with finlike foot and reduced or absent shell; Atlantidae has well developed shell (Atlanta, Oxygyrus); Carinariidae has small shell (Carinaria, Pterosoma); Pterotracheidae has no shell (Pterotrachea).	
161	EPITONIOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		EPITONIOIDEA				Janthinidae, pelagic (violet snails, Janthina, Recluzia), Epitoniidae (wentletraps, Epitonium, Opalia).	
162	EULIMOIDEA	MOLLUSCA	GASTROPODA		MESOGASTROPODS		EULIMOIDEA				Predators, commensals, and echinoderm parasites; Eulimidae, (Eulima, Melanella, Stilifer); Entoconchidae, (sea cucumber endoparasites; Enteroxenos, Entocolax, Entoconcha).	
163	NEOGASTROPODA	MOLLUSCA	GASTROPODA		NEOGASTROPODA						Snails that share many features with the mesogastropods but are entirely marine. Most are highly specialized carnivores. This is one of the largest and most successful molluscan taxa. Monotocardian with one nephridium, one monopectinate gill.	
164	MURICOIDEA	MOLLUSCA	GASTROPODA		NEOGASTROPODA		MURICOIDEA				Radula with three teeth. Heavy, conical, sculptured shells with long siphonal canal; Muricidae (drills; Coralliophila, Eupleura, Morula, Murex, Nucella, Purpura, Rapana, Thais, Urosalpinx), Buccinidae (Buccinum, Cominella), Melongenidae (whelks; Busycon, Melongena), Columbellidae (dove snails; Anachis, Columbella, Mitrella), Fasciolariidae (tulip snails; Fasciolaria), Marginellidae (marginellas; Marginella), Mitridae (miter snails; Mitra, Vexillum), Nassariidae (mud snails; Ilyanassa, Nassarius), Olividae (olive snails; Oliva, Olivella), Harpidae (harp snails; Harpa), Volutidae (volutes; Cymbium, Voluta), Turbinellidae (Turbinella).	
165	CANCELLARIOIDEA	MOLLUSCA	GASTROPODA		NEOGASTROPODA		CANCELLARIOIDEA				Radula has only the central tooth, which is used to suck fluid from prey; Cancellariidae (nutmeg snails; Admete, Cancellaria, Sveltia).	
166	CONOIDEA	MOLLUSCA	GASTROPODA		NEOGASTROPODA		CONOIDEA				Predatory snails with poison gland and highly modified toxoglossate radula having only one tooth per row (or radula absent). Conidae (cone snails; Conus), Turridae, the largest mollusc family, with several thousand species (turret snails; Mangelia, Polystira, Turns), Terebridae (Terebra).	
167	HETEROSTROPHA	MOLLUSCA	GASTROPODA		HETEROSTROPHA						Snails once were thought to be opisthobranchs, but now are believed to be closer to prosobranchs. Includes the important Pyramideiloidea, a large taxon of small carnivorous ectoparasites of bivalve molluscs and polychaetes. Shell is well developed, coiled, and multiwhorled, with operculum. Proboscis is long, with a stylet instead of a radula. A true radula and gill are absent.	
168	PYRAMIDEILOIDEA	MOLLUSCA	GASTROPODA		HETEROSTROPHA		PYRAMIDEILOIDEA				A large taxon of small carnivorous ectoparasites of bivalve molluscs and polychaetes	
169	OPISTHOBRANCHS	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS						The remaining two groups of gastropods, the opisthobranchs and pulmonates, are sometimes combined in Euthyneura, which is marked by the replacement of the twisted (streptoneurous) prosobranch nervous system with a secondarily bilaterally symmetrical (euthyneurous) system. In the euthyneuran nervous system, the effects of torsion are reversed by detorsion and the ganglia are highly concentrated and cephalized (moved close together in the head).	
170	CEPHALASPIDEA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		CEPHALASPIDEA				Largest, most primitive taxon. The ancestors of most other opisthobranchs probably were cephalaspidean-like. In general, they are specialized for burrowing in soft sediments, and detorsion has moved the mantle cavity to the right or even the posterior end. The shell is usually reduced (as in Bulla), but primitive genera such as Acteon and Hydatina more closely resemble their prosobranch ancestors and have not yet become fully adapted to burrowing.	
171	ANASPIDEA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		ANASPIDEA				The largest (60 cm in length and 2 kg) opisthobranchs. Feed on seaweeds in shallow water. Shell reduced, buried in the mantle, or completely lost. Body secondarily and imperfectly bilaterally symmetrical.	
172	THECOSOMATA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		THECOSOMATA				Pteropods (wing-foot) are two taxa of small, swimming opisthobranchs specialized for a pelagic life. Shelled pteropods have a shell, often have an operculum, and swim using large parapodia. Spiratellidae (Limacina, Spiratella), Cavoliniidae (Cavolinia, Clio), Cymbullidae (Cymbulia, Gleba).	
173	GYMNOSOMATA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		GYMNOSOMATA				Shell-less carnivores that specialise in eating thecosomes. Gill is absent in most. Mantle cavity is absent. Gas exchange occurs across the general body surface. Cliopsis, Pneumoderma.	
174	NUDIBRANCHIA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		NUDIBRANCHIA				Among the most spectacular, colourful, and beautiful molluscs. Shell, mantle cavity, and sometimes gills absent. Body secondarily bilaterally symmetrical and the anus posterior. Many bear numerous dorsal fingerlike projections called cerata, which can be filamentous, club-shaped, branched, resemble a cluster of grapes, or exhibit variations on these themes.	
175	DORIDOIDEA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		DORIDOIDEA				Gills encircle anus on posterior dorsum; 26 families, including Chromodoris, Dendrodoris, Doris, Glossodoris, Onchidoris.	
176	DENDRONOTOIDEA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		DENDRONOTOIDEA				Simple or branched nematocyst sequestering cerata, secondary gills; 10 families, including Dendronotus, Doto, Hancockia, Scyllaea, Tethys, Tritonia.	
177	ARMINOIDEA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		ARMINOIDEA				Platelike gills beneath mantle edge; nine families, including Armina, Piero.	
178	AEOLIDOIDEA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		AEOLIDOIDEA				Simple dorsal, nematocyst-sequestering cerata; 21 families, including Aeolidia, Berghia, Coryphella, Cuthonci, Eubranchus, Facelina, Fiona, Flabellina, Glaucus, Spurilla.	
179	SACOGLOSSA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		SACOGLOSSA				Herbivores that feed on cytoplasm sucked from macroalgae. Shell may or may not be present; a few (Juliidae: Berthelinia, Julia) have a bivalved, clamlike shell, but inside the two valves resides a typical snail. These are the only bivalved gastropods. Others are Elysiidae (Elysia, Tridachia), Stiligeridae (Alderia, Hermaea, Stiliger).	
180	ACOCHLIDIACEA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		ACOCHLIDIACEA				Small, shell-less, gill-less, interstitial opisthobranchs that live in coarse sediments, sometimes in low salinities or fresh water. Includes Acochlidiidae (Acochlidium, Microhedyle).	
181	NOTASPIDEA	MOLLUSCA	GASTROPODA		OPISTHOBRANCHS		NOTASPIDEA				Diverse group of epifaunal carnivores, many of which feed on sponges or sea squirts. Shell may be present or absent, internal or external. Bilateral symmetry is superficial, a bipectinate gill is present, and the rhinophores have a longitudinal slit. Includes Umbraculidae (Umbraculum), Tylodinidae (Tylodina), Pleurobranchidae (Berthella, Berthellina, Pleurobranchus).	
182	PULMONATES	MOLLUSCA	GASTROPODA		PULMONATES						The pulmonates contain the highly successful land snails, as well as many freshwater forms and a few intertidal marine species. Most freshwater snails and limpets and most terrestrial snails and slugs are pulmonates. Estimates of the number of described species vary widely from 16,000 to 30,000, but there is no doubting the success of this taxon. Pulmonates are not as diverse or heterogeneous as the prosobranchs, but they have prospered in habitats where competition from prosobranchs is reduced. They are widely distributed in both tropical and temperate regions throughout the world. The most primitive pulmonates are aquatic, both marine and freshwater, but the derived pulmonates are terrestrial and the grade has specialized in ecological niches open to air breathing gastropods. The aquatic species, being air breathers, are largely restricted to shallow water and the marine species are usually intertidal or supratidal.	
183	BASOMMATOPHORA	MOLLUSCA	GASTROPODA		PULMONATES		BASOMMATOPHORA				Have one pair of tentacles with an eye situated laterally at the base of each. Aquatic. Includes all marine and freshwater pulmonates.	
184	STYLOMMATOPHORA	MOLLUSCA	GASTROPODA		PULMONATES		STYLOMMATOPHORA				Including almost all terrestrial species, this is a far larger taxon than the aquatic Basommatophora. Two pairs of tentacles, although the anterior, lower pair may be inconspicuous. The two eyes are located at the distal tips of the posterior, upper pair.	
185	CEPHALOPODA	MOLLUSCA	CEPHALOPODA								Cephalopoda is an ancient, highly specialized taxon of about 700 extant and 10,000 extinct species, including the chambered nautilus, cuttlefish, squids, and octopods as well as the fossil nautiloids, ammonoids, and belemnoids. Cephalopods are entirely carnivorous and most are swift, active, agile predators. They occupy ecological niches for fast pelagic carnivores similar to those occupied by fishes, with which they compete and share many convergent characteristics.	
186	NAUTILOIDEA	MOLLUSCA	CEPHALOPODA		NAUTILOIDEA						Small taxon with Nautilus being the only living genus. Soft anatomy of fossil nautiloids is unknown. The four living species have two pairs of gills (tetrabranchiate), two pairs of nephridia, an external (ectocochleate) straight or planispiral chambered shell, abundant arms, pinhole camera eye with no lens, no ink sac, no chromatophores. Shell sutures simple and the many arms lack suckers. Shells of all Recent nautiloids are planispiral. Nautilus, Plectronoceras.	
187	AMMONOIDEA	MOLLUSCA	CEPHALOPODA		AMMONOIDEA						Extinct and known solely from their shells, which are coiled and external (ectocochleate), with complex interlocking sutures. Ammonoids appeared in the seas of the Silurian period and persisted to the Cretaceous. Ancyloceras, Ceratites, Pachydiscus, Scaphites, Turrilites.	
188	COLEOIDEA	MOLLUSCA	CEPHALOPODA		COLEOIDEA						Includes squids, cuttlefish, octopods, and vampyromorphs, all having 10 or fewer arms, two gills, two nephridia, an internal or vestigial shell, chromatophores, ink sac, and large brain. Coleoids first appear in the fossil record in the Jurassic period but may have been present earlier.	
189	BELEMNOIDEA	MOLLUSCA	CEPHALOPODA		BELEMNOIDEA						Extinct. The first known cephalopods with an internal, three-part shell. Soft anatomy unknown. May have been early coleoids or coleoid ancestors.	
190	DECABRANCHIA 	MOLLUSCA	CEPHALOPODA		DECABRANCHIA 						Squids and cuttlefishes, which are most cephalopods. Eight arms and two longer tentacles, an internalized shell.	
191	SEPIOIDEA	MOLLUSCA	CEPHALOPODA		SEPIOIDEA						Shell is internal and chambered in most. Arms lack hooks.	
192	SPIRULIDA	MOLLUSCA	CEPHALOPODA		SPIRULIDA						Only one species, Spirula spirula, with internal, calcified, chambered, planispiral shell. Sometimes included in Sepiida.	
193	SEPIIDA	MOLLUSCA	CEPHALOPODA		SEPIIDA						Cuttlefish. Calcified, internal, chambered, straight, septate shell, or it may be reduced or lost. Body usually is short and broad or saclike. Benthic or pelagic. Sepiidae is the only family, with about 100 species, including Metasepia, Sepia, Sepiella.	
194	SEPIOLIDA	MOLLUSCA	CEPHALOPODA		SEPIOLIDA						Three families and about 40 species of benthic bobtailed squids with small internal, chitinous pens. Idiosepius, Rossia, Sepiola.	
195	TEOTHOIDEA	MOLLUSCA	CEPHALOPODA		TEOTHOIDEA						Squids. By far the largest and most heterogeneous cephalopod taxon. Eight amis, two long tentacles. Shell is an internal dorsal, flattened pen. Body is usually elongate and tubular. Photophores present in many species.	
196	MYOPSIDA	MOLLUSCA	CEPHALOPODA		MYOPSIDA						Transparent corneal membrane over eye. Although there are relatively few species, most are coastal and as a consequence tend to be more familiar than the deep-sea oegopsids. Two families. Alloteuthis, Loligo, Lolliguncula, Sepioteuthis.	
197	DEGOPSIDA	MOLLUSCA	CEPHALOPODA		DEGOPSIDA						Eyelids and circular pupil, but no corneal membrane. Most squids, and hence most cephalopods, are oegopsids. Eargely pelagic in deep water. Twenty-three families.	
198	OCTOPODIFORMES	MOLLUSCA	CEPHALOPODA		OCTOPODIFORMES						Octopods. Eight arms, usuallly without tentacles. Body is a globular sac.	
199	VAMPYROMORPHA	MOLLUSCA	CEPHALOPODA		VAMPYROMORPHA						Characteristics are intermediate between squids and octopods and taxon has been classified with both. Represented in fossil record by several species, but only one, the deep-sea Vampyroteuthis infernalis, is alive today. Small, deep water octopod-like cephalopods with eight arms united by an interbrachial web and two reduced, retractable tentacles. Ink sac and chromatophores have been lost.	
200	OCTOPODA	MOLLUSCA	CEPHALOPODA		OCTOPODA						Eight arms, no tentacles, globular, saclike body, vestigial shell.	
201	CIRRATA	MOLLUSCA	CEPHALOPODA		CIRRATA						Small taxon of finned octopods in three families; pelagic, deepwater octopods with gelatinous fins and arms with cirri; arms joined by a broad interbrachial web; ink sac and chromatophores lost and radula reduced. Cirrothauma, Cirroteuthis, and Opisthoteuthis.	
202	INCIRRATA	MOLLUSCA	CEPHALOPODA		INCIRRATA						Includes most octopods (eight families). Web and fins lost. Most are benthic. Amphitretus, Argonauta, Eledonella, Enteroctopus, Hapalochlama, Octopus, Ozaena, Vitrelodonella.	
203	BIVALVIA 	MOLLUSCA	BIVALVIA 								Bivalvia (Pelecypoda) includes such common molluscs as clams, oysters, mussels, scallops, and shipworms. Bivalvia includes about 8000 described extant species, of which about 1300 live in fresh water and the remainder are marine. Bivalves range in size from the tiny freshwater fingernail clams, some of which are less than 2 mm in length, to the giant clam Tridacna of the South Pacific, which attains a length of over a meter and may weigh almost 300kg. The common name for bivalve is “clam,” and any bivalve is correctly called a clam, even if it is a scallop or oyster.	
204	BIVALVIA 	MOLLUSCA	BIVALVIA 		BIVALVIA 						Chiefly isomyarian deposit feeders with large labial palps and palpal tentacles.	
205	NUCULOIDA	MOLLUSCA	BIVALVIA 		NUCULOIDA						Nut clams. Equivalve shells with a row of short, similar teeth (taxodont) along the hinge. Nuculidae (Nucula), Nuculanidae (Nuculana, Yoldia), Malletiidae (Malletia).	
206	SOLEMYOIDA	MOLLUSCA	BIVALVIA 		SOLEMYOIDA						Valves thin, equivalve, elongate. Periostracum extends well beyond the edges of the valves and is responsible for the common name, awning clam. No hinge teeth. Solemyidae (awning clams; Solemya).	
207	METABRANCHIA	MOLLUSCA	BIVALVIA 		METABRANCHIA						Gills adapted for filter feeding (unless secondarily modified).	
208	FILIBRANCHIA	MOLLUSCA	BIVALVIA 		FILIBRANCHIA						Suspension-feeding bivalves with filibranch gills.	
209	TRIGONIOIDA	MOLLUSCA	BIVALVIA 		TRIGONIOIDA						Small taxon with five species in a single genus, Trigonia (formerly Neotrigonia), in Trigoniidae. Valves triangular. Hinge teeth strong, consisting of one long, grooved tooth anterior and one posterior to the beak.	
210	PTERIOMORPHA	MOLLUSCA	BIVALVIA 		PTERIOMORPHA						Large taxon of epibenthic bivalves attached by byssusorcementation. Mantle margins not fused. Mytilidae (marine mussels; Bathymodiolus, Brachidontes, Geukensia, Lithophaga, Modiolus, Mytilus), Arcidae (arks; Anadara, Area, Barbatia, Glycymeris, Noetia), Pectinidae (scallops; Aequipecten, Argopecten, Chlamys, Pecten, Placopecten), Ostreidae (oysters; Crassostrea, Lopha, Ostrea), Anomiidae (jingles; Anomia), Pinnidae (pen clams; Pinna, Atrina), Pteriidae (winged oysters; Isognomon, Malleus, Pinctada, Pteria), Limidae (file clams; Lima)	
211	EULAMELLIBRANCHIA	MOLLUSCA	BIVALVIA 		EULAMELLIBRANCHIA						Most bivalves belong to this taxon. Derived, efficient eulamellibranch gills.	
212	UNIONIDA	MOLLUSCA	BIVALVIA 		UNIONIDA						Important freshwater bivalves. Shells are equivalve, have few hinge teeth. A nacreous layer covers the interior of the shell and the siphons are usually poorly developed. Unionidae (pearly mussels; Anodonta, Elliptio, Lampsilis, Unio), Margaritiferidae (freshwater pearl mussels; Cumberlandia, Margaritifera), Mutelidae (African; Mutela), Etheriidae (freshwater oysters), and Hydriidae (Australasian; Hydridella, Velesunio).	
213	VENEROIDA	MOLLUSCA	BIVALVIA 		VENEROIDA						Shell usually is equivalve and lacks a nacreous layer. Most are burrowers with siphons. Lasaeidae (mosfiy commensals; Entovalva, Kellia, Lasaea, Lepton, Montacuta), Chamidae (jewel boxes; Chama), Cardiidae (cockles; Cardium, Dinocardium, Laevicardium, Trachycardium), Tridacnidae (giant clams; Hippopus, Tridacna), Mactridae (surf clams; Mactra, Spisula), Solenidae (razor clams; Ensis, Siliqua, Solen), Tellinidae (deposit-feeding tellins; Macoma, Strigella, Tellina), Semelidae (Abra, Scrobicularia, Semele), Vescomyidae (Calyptogena), Donacidae (coquinas; Donax), Solecurtidae (razor clams; Solecurtus, Tagelus), Sphaeriidae (Pisidiidae; freshwater fingernail clams; Eupera, Pisidium, Sphaerium), Dreissenidae (freshwater and estuarine clams, including the zebra mussel, Dreissena), Veneridae (Venus clams; Callista, Chione, Dosinia, Gemma, Macrocallista, Mercenaria, Venus), Petricolidae (rock borers; Petricola), and Corbiculidae (includes the Asian clam, Corbicula).	
214	LUCINOIDA	MOLLUSCA	BIVALVIA 		LUCINOIDA						Specialized bivalves similar to veneroids. Inhalant siphon lost, foot used to con- struct a substitute siphon of mucus. Anterior adductor muscle scar has a distinctive fingerlike ventral extension lying beside pallial line. Hinge has two cardinal teeth. Pallial sinus absent. Valves circular or oval. Lucinidae (lucines; Codakia, Divarecella, Linga, Lucina, Myrted).	
215	MYOIDA	MOLLUSCA	BIVALVIA 		MYOIDA						Most are thin-shelled borers with well-developed siphons. Hinge with one or two cardinal teeth but no laterals. Mantle margins fused and shell has no nacreous layer. Myidae (soft-shelled clams; Cryptomya, Mya, Paramya), Corbulidae (Corbula), Hiatellidae (geoducks; Hyatella, Panopea), Gastrochaenidae (rockborers; Gastrochaena), Pholadidae (piddocks, angel wings, Martesia, borers in rock, clay, wood, mud; Bamea, Chaceia, Cyrtopleura, Penitella, Pholas, Xylophaga, Zirphaea), Teredinidae (shipworms; Bankia, Teredo).	
216	ANOMALODESMATA	MOLLUSCA	BIVALVIA 		ANOMALODESMATA						Small group with no hinge teeth. Adductor muscles are isomyarian. Shell has a nacreous layer. Pandoridae (Pandora), Lyonsiidae (Lyonsia), Pholadomyidae (Pholadomya).	
217	SEPTIBRANCHIA	MOLLUSCA	BIVALVIA 		SEPTIBRANCHIA						Carnivorous with septate gills and enlarged inhalant siphon. Poromyidae (Cuspidaria, Poromya).	
218	SCAPHOPODA	MOLLUSCA	SCAPHOPODA								Scaphopoda contains about 500 described extant species of burrowing, exclusively marine molluscs popularly known as tusk, or tooth, molluscs because of their shape. They are the most recent molluscan higher taxon to appear in the fossil record and are highly derived. They probably are most closely related to the bivalves, although they bear little superficial resemblance to them. Scaphopods inhabit a tubular shell with an opening at each end and have a radula but lack gills. Like bivalves, they are bilaterally symmetrical and have a foot adapted for digging. Scaphopods live buried in sand, head downward and with the body steeply inclined. The small, posterior aperture usually projects slightly above the surface, but sometimes the animal may be completely buried to up to 30cm deep in the sediment. The majority of scaphopods are microcarnivores that burrow in sand at depths greater than 6m and up to 7000m. Although relatively common, they are not often encountered in shallow water, although at least one species occurs in the low intertidal. Empty shells often wash ashore on some coasts.	
219	DENTALIIDA	MOLLUSCA	SCAPHOPODA		DENTALIIDA						Shell is tusk shaped, reaching its maximum diameter at the anterior aperture. Foot is conical. Two digestive ceca. Anulidentalium, Dentalium, Ebisiphon rustiaria.	
220	GADILIDA	MOLLUSCA	SCAPHOPODA		GADILIDA						Shell usually resembles a canine tooth, with its greatest diameter posterior to the anterior aperture, although some are tusklike. Foot is vermiform and capable of distal expansion to form a terminal disc. Only one digestive cecum. Cadulus, Costentalina, Entalina, Gaaila, Polyschides, Pulsellum, Solenoxiphus.	
221	POLYCHAETA	ANNELIDA	POLYCHAETA								Polychaetes, or bristleworms, are the diverse, common, and often colorful annelids of the sea. And diversity is the key word in describing the form, function, and lifestyles of polychaetes. Of the 8000 species, most are burrowers, but some crawl over the bottom or on the surfaces of attached organisms, others bore into shells of rocks, many can swim when necessary, and a few are permanently pelagic. Still others secrete and occupy tubes, such as the spectacular feather-duster worms whose colorful crowns grace seawater aquaria and a variety of natural habitats. Polychaetes generally are medium-size worms of less than 10 cm in length and 2 to 10 mm in diameter, but many interstitial forms are less than 1 mm, and some species (Eunice, Nereis, Polyodontes) are real giants that approach or exceed a length of 1m and a diameter as thick as your thumb. The largest known polychaete is Eunice aphroditois, whose body exceeds 3 m in length.	
222	SCOLECIDA	ANNELIDA	POLYCHAETA		SCOLECIDA						Prostomial appendages are absent, but two or more pairs of cirri are on the pygidium. Most are burrowers or tube dwellers with a bulbous protrusible pharynx. Sediment is directly ingested with non muscular pharynx and mouth (direct deposit feeders). “Sedentary” polychaetes.	
223	ARENICOLIDEA	ANNELIDA	POLYCHAETA		SCOLECIDA	ARENICOLIDAE					Lugworms are common direct deposit feeders. Arenicola (and Abarenicold) lives in an L-shaped burrow that opens to the surface on the long side. The head of the worm is situated at the blind end of the horizontal part of the burrow, where sand is continually ingested by means of a simple pharynx. The ingested sand is rich in surface organic material, which tumbles into the surface depression above the animal’s head and slumps downward to the worm. Cilia in the everted pharynx drive loose particles into the gut, and some particle sorting occurs.	
224	MALDANIDAE	ANNELIDA	POLYCHAETA		SCOLECIDA	MALDANIDAE					Bamboo worms, such as Clymenella and Axiothella, are deposit-feeding tube dwellers. Their sand-grain tubes, which resemble beverage straws, are common in the intertidal zone. Bamboo worms have wedge like heads; long, distinct segments and segment joints that have the appearance of bamboo cane and its joints; and parapodia reduced to low ridges. The worms live upside down in their tubes and ingest the substratum from below.	
225	CAPITELLIDAE	ANNELIDA	POLYCHAETA		SCOLECIDA	CAPITELLIDAE					Earthwormlike with reduced parapodia and no head appendages. Like earthworms, most feed on sediment as they burrow through it. Most capitellids are red because of abundant hemoglobin in the coelomic fluid. Pressurized coelomic fluid everts the thin-walled pharynx, which in living animals resembles a blood blister. Most capitellids are small, but one, the giant (80 cm) Notomastus lobatus (maitre d’worm), lives in clayey sediment along the southeastern coast of the United States. It occupies a permanent helical burrow that it shares with no fewer than eight species of commensals, including one scaleworm and two other polychaetes, three clams, acrab, and anamphipod. Capitella.	
226	ORBINIIDAE	ANNELIDA	POLYCHAETA		SCOLECIDA	ORBINIIDAE					Earthwormlike in form and habits. They are often red or orange, depending on species. The prostomium lacks appendages. Proceeding from anterior to posterior along the body, the parapodia shift from lateral to dorsal. The eversible pharynx resembles that of capitellids, but orbiniids such as Orbinia ornata and Scoloplos rubra have paired comblike gills, derived from dorsal cirri, that arch over their backs.	
227	OPHELIIDAE	ANNELIDA	POLYCHAETA		SCOLECIDA	OPHELIIDAE					Includes burrowers that ingest sediment with an eversible bulbous pharynx. They often have lateral gills, and sometimes lateral eyes. Some, such as Travisia, resemble short, fat, sluggish grubs. Ophelia and Armandia are fishlike, streamlined, and fast, being adapted to live in current-swept sand. They move like fish, too, swimming rapidly through either loose sand or water. Among other adaptations for swimming, their pygiclium is modified into a tail fin. They so closely resemble amphioxus (Chordata) that collectors often mistake the annelid for the chordate. Euzonus.	
