NUMBER	NAME	KINGDOM	PHYLUM	SUBPHYLUM	CLADE	SUBCLADE	ORDER	SUBORDER	FAMILY	LEVEL	LEGENDA
121	CALYPTRAEDOIA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	----------------------------	CALYPTRAEDOIA	FAMILY	Filter-feeding, protandric snails with mostly caplike or limpetlike shells; Calyptraeidae (slipper snails and shelf limpets; Calyptraea, Crepidula; Capulidae (cap snails; Capulus).
122	CYPRAEOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	----------------------------	CYPRAEOIDEA	FAMILY	Spire enclosed within the last whorl of the shell; Cypraeidae (cowries; Cypraea), Ovulidae (egg snails; Cyphoma, Simnia). 
123	VELUTINOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	----------------------------	VELUTINOIDEA	FAMILY	Velutinidae (Velutina), Triviidae (trivias; Trivia, Erato).
124	NATICOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	----------------------------	NATICOIDEA	FAMILY	Burrowing moon snails with globose shell sand a drilling radula; (Naticidae; Natica, Polinices, Sinum).
125	TONNOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	----------------------------	TONNOIDEA	FAMILY	Marine snails with heavy, often large shells; Cassidae (helmet snails; Cassidarius, Cassis, bonnets; Phalium), Bursidae (frogsnails; Bofonaria), Ranellidae (tritons; Cymatium), Tonnidae (tuns; Tonna, Malea), Ficidae (fig snails; Ficus).
126	CARINARIOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	----------------------------	CARINARIOIDEA	FAMILY	Pelagic snails with finlike foot and reduced or absent shell; Atlantidae has well developed shell (Atlanta, Oxygyrus); Carinariidae has small shell (Carinaria, Pterosoma); Pterotracheidae has no shell (Pterotrachea).
127	EPITONIOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	----------------------------	EPITONIOIDEA	FAMILY	Janthinidae, pelagic (violet snails, Janthina, Recluzia), Epitoniidae (wentletraps, Epitonium, Opalia).
128	EULIMOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	----------------------------	EULIMOIDEA	FAMILY	Predators, commensals, and echinoderm parasites; Eulimidae, (Eulima, Melanella, Stilifer); Entoconchidae, (sea cucumber endoparasites; Enteroxenos, Entocolax, Entoconcha).
129	MURICOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	NESOGASTROPODA	MURICOIDEA	FAMILY	Radula with three teeth. Heavy, conical, sculptured shells with long siphonal canal; Muricidae, Buccinidae, Melongenidae, Columbellidae, Fasciolariidae, Marginellidae, Mitridae, Nassariidae, Olividae, Harpidae, Volutidae, Turbinellidae.
130	CANCELLARIOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	NESOGASTROPODA	CANCELLARIOIDEA	FAMILY	Radula has only the central tooth, which is used to suck fluid from prey; Cancellariidae (nutmeg snails; Admete, Cancellaria, Sveltia).
131	CONOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	MESOGASTROPODS	NESOGASTROPODA	CONOIDEA	FAMILY	Predatory snails with poison gland and highly modified toxoglossate radula having only one tooth per row (or radula absent). Conidae (cone snails; Conus), Turridae, the largest mollusc family, with several thousand species (turret snails; Mangelia, Polystira, Turns), Terebridae (Terebra). 
132	PYRAMIDEILOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PROSOBRANCHS	HETEROSTROPHA	----------------------------	PYRAMIDEILOIDEA	FAMILY	A large taxon of small carnivorous ectoparasites of bivalve molluscs and polychaetes.
133	CEPHALASPIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	CEPHALASPIDEA	----------------------------	----------------------------	ORDER	Largest, most primitive taxon. The ancestors of most other opisthobranchs probably were cephalaspidean-like. In general, they are specialized for burrowing in soft sediments, and detorsion has moved the mantle cavity to the right or even the posterior end. The shell is usually reduced (as in Bulla), but primitive genera such as Acteon and Hydatina more closely resemble their prosobranch ancestors and have not yet become fully adapted to burrowing. 
134	ANASPIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	ANASPIDEA	----------------------------	----------------------------	ORDER	The largest (60 cm in length and 2 kg) opisthobranchs. Feed on seaweeds in shallow water. Shell reduced, buried in the mantle, or completely lost. Body secondarily and imperfectly bilaterally symmetrical.
135	THECOSOMATA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	THECOSOMATA	----------------------------	----------------------------	ORDER	Pteropods (wing-foot) are two taxa of small, swimming opisthobranchs specialized for a pelagic life. Shelled pteropods have a shell, often have an operculum, and swim using large parapodia. Spiratellidae (Limacina, Spiratella), Cavoliniidae (Cavolinia, Clio), Cymbullidae (Cymbulia, Gleba).
136	GYMNOSOMATA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	GYMNOSOMATA	----------------------------	----------------------------	ORDER	Shell-less carnivores that specialise in eating thecosomes. Gill is absent in most. Mantle cavity is absent. Gas exchange occurs across the general body surface. Cliopsis, Pneumoderma.
137	DORIDOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	NUDIBRANCHIA	----------------------------	DORIDOIDEA	FAMILY	Gills encircle anus on posterior dorsum; 26 families, including Chromodoris, Dendrodoris, Doris, Glossodoris, Onchidoris.
138	DENDRONOTOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	NUDIBRANCHIA	----------------------------	DENDRONOTOIDEA	FAMILY	Simple or branched nematocyst sequestering cerata, secondary gills; 10 families, including Dendronotus, Doto, Hancockia, Scyllaea, Tethys, Tritonia.
139	ARMINOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	NUDIBRANCHIA	----------------------------	ARMINOIDEA	FAMILY	Platelike gills beneath mantle edge; nine families, including Armina, Piero.
140	AEOLIDOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	NUDIBRANCHIA	----------------------------	AEOLIDOIDEA	FAMILY	Simple dorsal, nematocyst-sequestering cerata; 21 families, including Aeolidia, Berghia, Coryphella, Cuthonci, Eubranchus, Facelina, Fiona, Flabellina, Glaucus, Spurilla.
141	SACOGLOSSA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	SACOGLOSSA	----------------------------	----------------------------	ORDER	Herbivores that feed on cytoplasm sucked from macroalgae. Shell may or may not be present; a few (Juliidae: Berthelinia, Julia) have a bivalved, clamlike shell, but inside the two valves resides a typical snail. These are the only bivalved gastropods. Others are Elysiidae (Elysia, Tridachia), Stiligeridae (Alderia, Hermaea, Stiliger).
142	ACOCHLIDIACEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	ACOCHLIDIACEA	----------------------------	----------------------------	ORDER	Small, shell-less, gill-less, interstitial opisthobranchs that live in coarse sediments, sometimes in low salinities or fresh water. Includes Acochlidiidae (Acochlidium, Microhedyle). 
143	NOTASPIDEA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	OPISTHOBRANCHS	NOTASPIDEA	----------------------------	----------------------------	ORDER	Diverse group of epifaunal carnivores, many of which feed on sponges or sea squirts. Shell may be present or absent, internal or external. Bilateral symmetry is superficial, a bipectinate gill is present, and the rhinophores have a longitudinal slit. Includes Umbraculidae (Umbraculum), Tylodinidae (Tylodina), Pleurobranchidae (Berthella, Berthellina, Pleurobranchus).
144	BASOMMATOPHORA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PULMONATES	BASOMMATOPHORA	----------------------------	----------------------------	ORDER	Have one pair of tentacles with an eye situated laterally at the base of each. Aquatic. Includes all marine and freshwater pulmonates.
145	STYLOMMATOPHORA	BILATERIA	MOLLUSCA	CONCHIERA	GASTROPODA	PULMONATES	STYLOMMATOPHORA	----------------------------	----------------------------	ORDER	Including al- most all terrestrial species, this is a far larger taxon than the aquatic Basommatophora. Two pairs of tentacles, although the anterior, lower pair may be inconspicuous. The two eyes are located at the distal tips of the posterior, upper pair.
146	NAUTILOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	NAUTILOIDEA	----------------------------	----------------------------	----------------------------	SUBCLADE	Small taxon with Nautilus being the only living genus. Soft anatomy of fossil nautiloids is unknown. The four living species have two pairs of gills (tetrabranchiate), two pairs of nephridia, an external (ectocochleate) straight or planispiral chambered shell, abundant arms, pinhole camera eye with no lens, no ink sac, no chromatophores. Shell sutures simple and the many arms lack suckers. Shells of all Recent nautiloids are planispiral. Nautilus, Plectronoceras.
147	AMMONOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	AMMONOIDEA	----------------------------	----------------------------	----------------------------	SUBCLADE	Extinct and known solely from their shells, which are coiled and external (ectocochleate), with complex interlocking sutures. Ammonoids appeared in the seas of the Silurian period and persisted to the Cretaceous. Ancyloceras, Ceratites, Pachydiscus, Scaphites, Turrilites.
148	BELEMNOIDEA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	COLEOIDEA	BELEMNOIDEA	----------------------------	----------------------------	ORDER	Extinct. The first known cephalopods with an internal, three-part shell. Soft anatomy unknown. May have been early coleoids or coleoid ancestors.
149	SPIRULIDA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	COLEOIDEA	DECABRANCHIA 	SEPIOIDEA	SPIRULIDA	FAMILY	Only one species, Spirula spirula, with internal, calcified, chambered, planispiral shell. Sometimes included in Sepiida.
150	SEPIIDA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	COLEOIDEA	DECABRANCHIA 	SEPIOIDEA	SEPIIDA	FAMILY	Cuttlefish. Calcified, internal, chambered, straight, septate shell, or it may be reduced or lost. Body usually is short and broad or saclike. Benthic or pelagic. Sepiidae is the only family, with about 100 species, including Metasepia, Sepia, Sepiella.
151	SEPIOLIDA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	COLEOIDEA	DECABRANCHIA 	SEPIOIDEA	SEPIOLIDA	FAMILY	Three families and about 40 species of benthic bobtailed squids with small internal, chitinous pens. Idiosepius, Rossia, Sepiola.
152	MYOPSIDA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	COLEOIDEA	DECABRANCHIA 	TEUTHOIDEA	MYOPSIDA	FAMILY	Transparent corneal membrane over eye. Although there are relatively few species, most are coastal and as a consequence tend to be more familiar than the deep-sea oegopsids. Two families. Alloteuthis, Loligo, Lolliguncula, Sepioteuthis.
153	OEGOPSIDA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	COLEOIDEA	DECABRANCHIA 	TEUTHOIDEA	OEGOPSIDA	FAMILY	Eyelids and circular pupil, but no corneal membrane. Most squids, and hence most cephalopods, are oegopsids. Eargely pelagic in deep water. Twenty-three families.
154	VAMPYROMORPHA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	COLEOIDEA	OCTOPODIFORMES	VAMPYROMORPHA	----------------------------	SUBORDER	Characteristics are intermediate between squids and octopods and taxon has been classified with both. Represented in fossil record by several species, but only one, the deep-sea Vampyroteuthis infernalis, is alive today. Small, deep water octopod-like cephalopods with eight arms united by an interbrachial web and two reduced, retractable tentacles. Ink sac and chromatophores have been lost.
155	CIRRATA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	COLEOIDEA	OCTOPODIFORMES	OCTOPODA	CIRRATA	FAMILY	Small taxon of finned octopods in three families; pelagic, deepwater octopods with gelatinous fins and arms with cirri; arms joined by a broad interbrachial web; ink sac and chromatophores lost and radula reduced. Cirrothauma, Cirroteuthis, and Opisthoteuthis.
156	INCIRRATA	BILATERIA	MOLLUSCA	CONCHIERA	CEPHALOPODA	COLEOIDEA	OCTOPODIFORMES	OCTOPODA	INCIRRATA	FAMILY	Includes most octopods (eight families). Web and fins lost. Most are benthic. Amphitretus, Argonauta, Eledonella, Enteroctopus, Hapalochlama, Octopus, Ozaena, Vitrelodonella.
157	NUCULOIDA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	PROTOBRANCHIA	----------------------------	NUCULOIDA	----------------------------	SUBORDER	Nut clams. Equivalve shells with a row of short, similar teeth (taxodont) along the hinge. Nuculidae (Nucula), Nuculanidae (Nuculana, Yoldia), Malletiidae (Malletia).
158	SOLEMYOIDA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	PROTOBRANCHIA	----------------------------	SOLEMYOIDA	----------------------------	SUBORDER	Valves thin, equivalve, elongate. Periostracum extends well beyond the edges of the valves and is responsible for the common name, awning clam. No hinge teeth. Solemyidae (awning clams; Solemya)
159	TRIGONIOIDA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	METABRANCHIA	FILIBRANCHIA	TRIGONIOIDA	----------------------------	SUBORDER	Small taxon with five species in a single genus, Trigonia (formerly Neotrigonia), in Trigoniidae. Valves triangular. Hinge teeth strong, consisting of one long, grooved tooth anterior and one posterior to the beak.
160	PTERIOMORPHA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	METABRANCHIA	FILIBRANCHIA	PTERIOMORPHA	----------------------------	SUBORDER	Large taxon of epibenthic bivalves attached by byssusorcementation. Mantle margins not fused. Mytilidae (marine mussels; Bathymodiolus, Brachidontes, Geukensia, Lithophaga, Modiolus, Mytilus), Arcidae (arks; Anadara, Area, Barbatia, Glycymeris, Noetia), Pectinidae (scallops; Aequipecten, Argopecten, Chlamys, Pecten, Placopecten), Ostreidae (oysters; Crassostrea, Lopha, Ostrea), Anomiidae (jingles; Anomia), Pinnidae (pen clams; Pinna, Atrina), Pteriidae (winged oysters; Isognomon, Malleus, Pinctada, Pteria), Limidae (file clams; Lima).
161	UNIONIDA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	METABRANCHIA	EULAMELLIBRANCHIA	UNIONIDA	----------------------------	SUBORDER	Important freshwater bivalves. Shells are equivalve, have few hinge teeth. A nacreous layer covers the interior of the shell and the siphons are usually poorly developed. Unionidae (pearly mussels; Anodonta, Elliptio, Lampsilis, Unio), Margaritiferidae (freshwater pearl mussels; Cumberlandia, Margaritifera), Mutelidae (African; Mutela), Etheriidae (freshwater oysters), and Hydriidae (Australasian; Hydridella, Velesunio).
162	VENEROIDA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	METABRANCHIA	EULAMELLIBRANCHIA	VENEROIDA	----------------------------	SUBORDER	Shell usually is equivalve and lacks a nacreous layer. Most are burrowers with siphons. Lasaeidae, Chamidae, Cardiidae, Tridacnidae, Mactridae, Solenidae, Tellinidae, Semelidae, Vescomyidae, Donacidae, Solecurtidae, Sphaeriidae, Dreissenidae, Veneridae, Petricolidae, and Corbiculidae.
163	LUCINOIDA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	METABRANCHIA	EULAMELLIBRANCHIA	LUCINOIDA	----------------------------	SUBORDER	Specialized bivalves similar to veneroids. Inhalant siphon lost, foot used to con- struct a substitute siphon of mucus. Anterior adductor muscle scar has a distinctive fingerlike ventral extension lying beside pallial line. Hinge has two cardinal teeth. Pallial sinus absent. Valves circular or oval. Lucinidae.
164	MYOIDA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	METABRANCHIA	EULAMELLIBRANCHIA	MYOIDA	----------------------------	SUBORDER	Most are thin-shelled borers with well-developed siphons. Hinge with one or two cardinal teeth but no laterals. Mantle margins fused and shell has no nacreous layer. Myidae, Corbulidae, Hiatellidae, Gastrochaenidae, Pholadidae, Teredinidae.
165	ANOMALODESMATA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	METABRANCHIA	EULAMELLIBRANCHIA	ANOMALODESMATA	----------------------------	SUBORDER	Small group with no hinge teeth. Adductor muscles are isomyarian. Shell has a nacreous layer. Pandoridae, Lyonsiidae, Pholadomyidae.
166	SEPTIBRANCHIA	BILATERIA	MOLLUSCA	CONCHIERA	BIVALVIA 	METABRANCHIA	EULAMELLIBRANCHIA	SEPTIBRANCHIA	----------------------------	SUBORDER	Carnivorous with septate gills and enlarged inhalant siphon. Poromyidae.
167	DENTALIIDA	BILATERIA	MOLLUSCA	CONCHIERA	SCAPHOPODA	----------------------------	DENTALIIDA	----------------------------	----------------------------	ORDER	Shell is tusk shaped, reaching its maximum diameter at the anterior aperture. Foot is conical. Two digestive ceca. Anulidentalium, Dentalium, Ebisiphon rustiaria.
168	GADILIDA	BILATERIA	MOLLUSCA	CONCHIERA	SCAPHOPODA	----------------------------	GADILIDA	----------------------------	----------------------------	ORDER	Shell usually resembles a canine tooth, with its greatest diameter posterior to the anterior aperture, although some are tusklike. Foot is vermiform and capable of distal expansion to form a terminal disc. Only one digestive cecum. Cadulus, Costentalina, Entalina, Gaaila, Polyschides, Pulsellum, Solenoxiphus.
169	ARENICOLIDEA	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	----------------------------	----------------------------	----------------------------	ARENICOLIDEA	FAMILY	Lugworms are common direct deposit feeders. Arenicola (and Abarenicold) lives in an L-shaped burrow that opens to the surface on the long side. The head of the worm is situated at the blind end of the horizontal part of the burrow, where sand is continually ingested by means of a simple pharynx. The ingested sand is rich in surface organic material, which tumbles into the surface depression above the animal’s head and slumps downward to the worm. Cilia in the everted pharynx drive loose particles into the gut, and some particle sorting occurs.
170	MALDANIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	----------------------------	----------------------------	----------------------------	MALDANIDAE	FAMILY	Bamboo worms, such as Clymenella and Axiothella, are deposit-feeding tube dwellers. Their sand-grain tubes, which resemble beverage straws, are common in the intertidal zone. Bamboo worms have wedge like heads; long, distinct segments and segment joints that have the appearance of bamboo cane and its joints; and parapodia reduced to low ridges. The worms live upside down in their tubes and ingest the substratum from below.
171	CAPITELLIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	----------------------------	----------------------------	----------------------------	CAPITELLIDAE	FAMILY	Earthwormlike with reduced parapodia and no head appendages. Like earthworms, most feed on sediment as they burrow through it. Most capitellids are red because of abundant hemoglobin in the coelomic fluid. Pressurized coelomic fluid everts the thin-walled pharynx, which in living animals resembles a blood blister. Most capitellids are small, but one, the giant (80 cm) Notomastus lobatus (maitre d’worm), lives in clayey sediment along the southeastern coast of the United States. It occupies a permanent helical burrow that it shares with no fewer than eight species of commensals, including one scaleworm and two other polychaetes, three clams, acrab, and anamphipod. Capitella.
172	ORBINIIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	----------------------------	----------------------------	----------------------------	ORBINIIDAE	FAMILY	Earthwormlike in form and habits. They are often red or orange, depending on species. The prostomium lacks appendages. Proceeding from anterior to posterior along the body, the parapodia shift from lateral to dorsal. The eversible pharynx resembles that of capitellids, but orbiniids such as Orbinia ornata and Scoloplos rubra have paired comblike gills, derived from dorsal cirri, that arch over their backs.
173	OPHELIIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	----------------------------	----------------------------	----------------------------	OPHELIIDAE	FAMILY	Includes burrowers that ingest sediment with an eversible bulbous pharynx. They often have lateral gills, and sometimes lateral eyes. Some, such as Travisia, resemble short, fat, sluggish grubs. Ophelia and Armandia are fishlike, streamlined, and fast, being adapted to live in current-swept sand. They move like fish, too, swimming rapidly through either loose sand or water. Among other adaptations for swimming, their pygiclium is modified into a tail fin. They so closely resemble amphioxus (Chordata) that collectors often mistake the annelid for the chordate. Euzonus.
174	PHYLLODOCIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	PHYLLODOCIDAE	FAMILY	Paddleworms such as Eteone, Eulalia, and Phyllodoce have greatly flattened, paddlelike notopodia that are used as gills. Carnivores; actively crawl and seize prey with an eversible, muscular, unarmed pharynx. Eteone species find food by tracking the mucous trails laid down by prey on the surface of the mudflat.
175	TOMOPTERIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	TOMOPTERIDAE	FAMILY	Pelagic, transparent carnivores. Tomopteris is dorsoventrally flattened, lacks chaetae, and has very long cirri on segment.
176	ALCIOPIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	ALCIOPIDAE	FAMILY	Pelagic, transparent carnivores. Vanadis and Rhynchonerella resemble paddleworms (Phyllodocidae), but have enormous, bulging eyes with which to locate prey.
177	NEREIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	NEREIDAE	FAMILY	Ragworms such as Nereis (and other genera) actively crawl, burrow, and occasionally swim. Pharynx is muscular, eversible, and has a pair of stout jaws. Head has two antennae, two palps, four eyes, and four pairs of tentacular cirri. Some, such as Nereispelagicct, Nereis virens, and Nereis diversicolor, are omnivores that feed on algae, other invertebrates, and even detritus. Nereis succinea and Nereis longissima feed primarily on detritus in the sediments. Nereisfucata, a commensal with the hermit crab, is carnivorous. Nereis brandti, of the northwest coast of the United States, reaches 1.8 m in length and feeds primarily on green algae. Ceratonereis, Platynereis.
178	GLYCERIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	GLYCERIDAE	FAMILY	Glycera (the bloodworm) and other genera occupy a subsurface gallery excavated in muddy bottoms. The gallery contains numerous loops that open to the surface. Lying in wait at the bottom of a loop, the worm uses its four tiny, vibration-sensitive antennae to detect surface movements of prey, such as small crustaceans. It then moves to the burrow opening and seizes the prey with its pharynx.
179	NEPHTYIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	NEPHTYIDAE	FAMILY	Similar to bloodworms (Glyceridae). Have a long, eversible pharynx, but only two jaws instead of four; carnivores of worms and small crustaceans. Nephtys and other nephtyids are called shimmy worms for their rapid, almost vibratory lateral undulations of the body while swimming or burrowing in loose sand; some- times called cat worms because the anterior prostomial margin bears two triangular palps that resemble a cat’s ears.
180	APHRODITIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	APHRODITIDAE	FAMILY	Scaleworms, called such because of two rows of overlapping scales on the dorsal surface resembling fish scales. Each scale is a highly modified dorsal cirrus called an elytron (pi., elytra) that is borne on a short stalk.   Because most live in tight quarters, the scales may channel the ventilating water current between the scales and body wall. Elytra also bear a variety of sensory structures. In the scaleworm Aphrodite (the sea mouse), the entire dorsal surface, including the elytra, is covered with hairlike “felt” composed of long notopodial chaetae that trail back over the dorsal surface of the animal. Scale worms are considered to be carnivores, but little is known about the feeding habits of commensal species. Aphroditidae: Aphrodite, Laetmonice; Polynoidae: Arctonoe, Halosynda, Harmothoe, Lepidasthenia, Lepidonotus; Polyodontidae: Polyodontes; Sigalionidae: Sthenelais. May also include Thalanessa.
181	POLYNOIDEA	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	POLYNOIDEA	FAMILY	Scaleworms, called such because of two rows of overlapping scales on the dorsal surface resembling fish scales. Each scale is a highly modified dorsal cirrus called an elytron (pi., elytra) that is borne on a short stalk. These scaleworms are secretive and occupy tight crevices beneath stones (polynoids)
182	POLYODONTIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	POLYODONTIDAE	FAMILY	Scaleworms, called such because of two rows of overlapping scales on the dorsal surface resembling fish scales. Each scale is a highly modified dorsal cirrus called an elytron (pi., elytra) that is borne on a short stalk.  a few scaleworms live in secreted tubes (polyodontids)
183	SIGALIONIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	SIGALIONIDAE	FAMILY	Scaleworms, called such because of two rows of overlapping scales on the dorsal surface resembling fish scales. Each scale is a highly modified dorsal cirrus called an elytron (pi., elytra) that is borne on a short stalk. A few scaleworms burrow (sigalionids).
184	HESIONIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	PHYLLODOCIDA	----------------------------	----------------------------	HESIONIDAE	FAMILY	Active commensals or free living (Ophiodromus, Podarke) and a few tiny species in the interstitial habitat, the labyrinthine water-filled spaces between grains of sand. Of the latter, Hesionides crawls in typical polychaete fashion using parapodia, but interstitial polychaetes of Saccocirridae, Protodrilidae, Polygordiidae (Polygordius), and Diurodrilidae have lost the parapodia and rely on cilia for locomotion. Although previously classified as Archiannelida because of their simple body design (and small size), Diurodrilidae is now considered to be a member of Eunicida (discussed below), whereas the remaining families are tentatively placed within Canalipalpata (also discussed below).
185	MYZOSTOMIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	MYZOSTOMIDA	----------------------------	----------------------------	MYZOSTOMIDAE	FAMILY	Commensals on sea lilies and feather stars or internal parasites of sea stars (Echinodermata). Myzostoma and relatives are little worms that rarely exceed 5 mm in length and superficially resemble flatworms, but when disturbed they scoot rapidly away on stubby legs, each one terminating in a hooked chaeta. Oval body is greatly flattened; five pairs of parapodia on the undersurfacc. Parapodia, chaetae, and segmented nervous system indicate that Myzostomida belongs to Polychaeta, but its sister taxon is unknown; placement in Aciculata is provisional.
186	EUNICIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	EUNICIDA	----------------------------	----------------------------	EUNICIDAE	FAMILY	Members have a muscular, eversible pharynx that bears two stout mandibles and other accessory teeth. Includes the longest polychaete, Eunice aphroditois, a 3-m-long carnivorore from the tropical Indo-Pacific. Palola, some species of which are known as palolo worms, are famous for epitokal swarming and their savory flavor. Marphysa burrows in fine muddy sands, and Lysidice, like Palola, occurs in coralline rock.
187	AMPHINOMIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	EUNICIDA	----------------------------	----------------------------	AMPHINOMIDAE	FAMILY	Mostly large, chiefly tropical, often beautifully colored, caterpillar-like fireworms are carnivores living on corals and driftwood, beneath stones, occasionally in sediment. Eat coral polyps, anemones, stalked barnacles, and other sessile invertebrates by prying them loose with a muscular lower lip and sucking them in whole. Goose barnacles (Lepas) ingested whole and later defecated as museum-quality barnacle shells. Fireworms are notorious for their defensive chaetae, which are uniquely calcified, brittle, and toxic. When bare skin brushes against the chaetae, they penetrate the skin, break free of the worm, and create a burning pain. Avoided by fish and experienced scuba divers. Amphinome, Chloeia, Eurythoe, Hermodice. 
188	ONUPHIDAE	BILATERIA	ANNELIDA	----------------------------	POLYCHAETA	EUNICIDA	----------------------------	----------------------------	ONUPHIDAE	FAMILY	Tube-dwelling aciculates; tubes are protective retreats and the occupants crawl actively within them by using well-developed parapodia. Diopatra, Onuphis, and Americonuphis build tough, conspicuous, membranous tubes that project vertically above the surface of the sand. The tube’s chimney is crooked and flared like a ship’s ventilator funnel. The chimneys are covered with bits of shell, seaweed, and other debris that the worm collects and positions with its jaws. Such ornamentation provides camouflage, and some worms graze on the algae planted on their own as well as their neighbors’ chimneys. 
